ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
19-67,Présidentielle,2022,1,2022-04-10,17,73,19,19,67,43.0,1752.0,1227.0,1227,16.0,9.0,1202.0,4,16.0,169.0,15.0,57.0,38.0,783.0,20.0,69.0,20,6.0,5.0,48.886247790487175,2.367324098734796
12-50,Présidentielle,2022,1,2022-04-10,08,47,12,12,50,69.0,1711.0,1310.0,1311,15.0,11.0,1285.0,5,32.0,388.0,8.0,82.0,78.0,495.0,29.0,96.0,51,8.0,13.0,48.84243558043304,2.3837613257291874
17-52,Présidentielle,2022,1,2022-04-10,04,66,17,17,52,91.0,1483.0,1223.0,1225,6.0,1.0,1218.0,1,6.0,585.0,16.0,62.0,180.0,138.0,11.0,48.0,161,3.0,7.0,48.887392143403524,2.304001078142795
16-30,Présidentielle,2022,1,2022-04-10,14,61,16,16,30,51.0,1430.0,1129.0,1129,12.0,1.0,1116.0,0,13.0,496.0,10.0,82.0,161.0,129.0,17.0,55.0,143,2.0,8.0,48.848641515897995,2.2744173438317112
14-35,Présidentielle,2022,1,2022-04-10,11,54,14,14,35,48.0,1477.0,1209.0,1209,13.0,5.0,1191.0,5,28.0,464.0,14.0,53.0,77.0,326.0,36.0,105.0,70,6.0,7.0,48.83094108486823,2.338985728639074
15-12,Présidentielle,2022,1,2022-04-10,12,59,15,15,12,92.0,1767.0,1468.0,1468,7.0,2.0,1459.0,3,15.0,692.0,16.0,65.0,132.0,223.0,36.0,113.0,153,1.0,10.0,48.84789692815892,2.292719728171992
14-39,Présidentielle,2022,1,2022-04-10,11,54,14,14,39,35.0,1444.0,1143.0,1142,13.0,2.0,1127.0,4,31.0,342.0,14.0,59.0,78.0,387.0,27.0,91.0,75,8.0,11.0,48.82737894560255,2.3392799330121528
13-59,Présidentielle,2022,1,2022-04-10,10,51,13,13,59,76.0,1807.0,1403.0,1403,18.0,6.0,1379.0,7,30.0,455.0,24.0,63.0,109.0,432.0,40.0,124.0,76,8.0,11.0,48.828397015438796,2.355084776618446
15-1,Présidentielle,2022,1,2022-04-10,12,57,15,15,1,64.0,1215.0,1000.0,1000,14.0,4.0,982.0,1,16.0,430.0,10.0,57.0,100.0,182.0,15.0,63.0,94,2.0,12.0,48.84175101464979,2.3008188202964166
12-42,Présidentielle,2022,1,2022-04-10,08,45,12,12,42,48.0,1357.0,1106.0,1106,10.0,1.0,1095.0,2,24.0,329.0,20.0,58.0,86.0,369.0,32.0,82.0,67,9.0,17.0,48.836498441188525,2.40576521934116
